Price,Address,City,State,ZipCode,Beds,Baths,Sqft,Acres
189900,418 7TH ST,HUNTSVILLE,TX,77320,3,2,1654,0.0
71900,8 HILLSIDE CT,HUNTSVILLE,TX,77340,0,0,0,0.39
260000,27 LAKE SHORE LN,RIVERSIDE,TX,77320,3,2,1617,0.0
219900,123 TOWN AND COUNTRY DR,HUNTSVILLE,TX,77320,3,2,1409,0.0
185000,906 ELM AVE,HUNTSVILLE,TX,77320,3,1,1113,0.0
224900,125 TOWN AND COUNTRY DR,HUNTSVILLE,TX,77320,3,2,1409,0.0
160000,TBD BIGHORN ROAD,HUNTSVILLE,TX,77340,0,0,0,2.5
20000,806 OVERBROOK DR,HUNTSVILLE,TX,77340,0,0,0,0.26
375000,1865 ROLLINGWOOD DR,HUNTSVILLE,TX,77340,3,3,2387,0.0
315000,103 PINE VALLEY ST,HUNTSVILLE,TX,77320,3,3,2178,0.0
439900,144 BROADMOOR DR,HUNTSVILLE,TX,77340,3,3,2400,0.0
450000,817 JONES RD,NEW WAVERLY,TX,77358,0,0,0,12.57
395000,9 PEACEFUL DR,HUNTSVILLE,TX,77340,3,2,1832,0.0
575000,97 BIRD FARM RD,HUNTSVILLE,TX,77320,3,2,2486,0.0
192999,21 PINE LAKE LN,RIVERSIDE,TX,77320,3,3,1651,0.0
299000,109 MAGNOLIA WAY,HUNTSVILLE,TX,77320,4,4,2805,0.0
150000,710 CLINE ST,HUNTSVILLE,TX,77340,3,1,1020,0.0
294300,109 LAUREL OAK DR,HUNTSVILLE,TX,77320,4,2,1666,0.0
397000,1611 AVENUE Q,HUNTSVILLE,TX,77340,4,3,2882,0.0
361300,3714 SAGE ST,HUNTSVILLE,TX,77340,3,2,1841,0.0
45000,TBD JULIA AVENUE,HUNTSVILLE,TX,77320,0,0,0,0.56
397900,1406 RIVER OAKS DR,HUNTSVILLE,TX,77340,4,3,2318,0.0
464900,511 CHERRY HILLS DR,HUNTSVILLE,TX,77340,3,3,2456,0.0
256990,121 AVALON DR,HUNTSVILLE,TX,77320,4,3,2014,0.0
248990,310 DEL MONTE DR,HUNTSVILLE,TX,77320,4,3,1774,0.0
229990,403 DEL MONTE DR,HUNTSVILLE,TX,77320,3,2,1429,0.0
242990,104 AVALON DRIVE,HUNTSVILLE,TX,77320,4,2,1607,0.0
249990,104 DEL MONTE DRIVE,HUNTSVILLE,TX,77320,4,2,1776,0.0
240000,213 HICKORY ST,HUNTSVILLE,TX,77320,3,2,2032,0.0
17000,802 OVERBROOK DR,HUNTSVILLE,TX,77340,0,0,0,0.25
1100000,87 CEDAR RDG,HUNTSVILLE,TX,77320,5,4,4503,0.0
269000,146 BROADMOOR DR,HUNTSVILLE,TX,77340,3,3,2086,0.0
140000,16 M WILLIAMS RD,HUNTSVILLE,TX,77340,3,2,1474,0.0
385999,126 WATERS EDGE 18TH,HUNTSVILLE,TX,77340,3,3,2648,0.0
13000,800 OVERBROOK DR,HUNTSVILLE,TX,77340,0,0,0,0.27
170000,62 PALISADE CIR,HUNTSVILLE,TX,77320,4,2,1300,0.0
349500,2100 GROVESHIRE DR,HUNTSVILLE,TX,77340,3,3,2505,0.0
159900,14-37-1 DIPPING VAT ROAD,NEW WAVERLY,TX,77358,0,0,0,3.66
999000,6100 FM 1374 RD,NEW WAVERLY,TX,77358,0,0,0,18.47
200000,12-22-61 GRANITE ROAD,HUNTSVILLE,TX,77340,0,0,0,3.0
109900,13-33-17 RISING SUN COURT,NEW WAVERLY,TX,77358,0,0,0,1.5
879000,000 PONDEROSA DRIVE,NEW WAVERLY,TX,77358,3,3,2520,0.0
275000,823 CHERRY HILLS DRIVE DRIVE,HUNTSVILLE,TX,77340,3,2,1773,0.0
245000,38 ABBEY ROAD,NEW WAVERLY,TX,77358,0,0,0,0.99
400000,3508 MONTGOMERY RD,HUNTSVILLE,TX,77340,0,0,0,4.18
